No.,Kota,Provinsi,Luas_Wilayah,Jumlah_Penduduk,Kepadatan_Penduduk
1,Jakarta Pusat,Daerah Khusus Ibukota Jakarta,"47,90",889.448,18.569
2,Jakarta Barat,Daerah Khusus Ibukota Jakarta,"126,15",2.093.013,16.591
3,Jakarta Selatan,Daerah Khusus Ibukota Jakarta,"145,73",2.001.353,13.733
4,Bandung,Jawa Barat,"167,30",2.288.570,13.679
5,Cimahi,Jawa Barat,"40,36",546.879,13.549
6,Yogyakarta,Daerah Istimewa Yogyakarta,"32,50",433.539,13.340
7,Jakarta Timur,Daerah Khusus Ibukota Jakarta,"187,73",2.391.166,12.737
8,Surakarta,Jawa Tengah,"44,03",506.397,11.501
9,Jakarta Utara,Daerah Khusus Ibukota Jakarta,"142,30",1.445.623,10.159
10,Bekasi,Jawa Barat,"210,49",1.993.478,9.471
11,Bogor,Jawa Barat,"118,50",1.112.081,9.385
12,Tangerang Selatan,Banten,"147,19",1.219.245,8.283
13,Cirebon,Jawa Barat,"37,36",308.771,8.265
14,Tangerang,Banten,"177,30",1.451.595,8.187
15,Banjarmasin,Kalimantan Selatan,"72,00",589.115,8.182
16,Surabaya,Jawa Timur,"326,37",2.611.506,8.002
17,Medan,Sumatera Utara,"265,10",2.029.797,7.657
18,Malang,Jawa Timur,"110,06",820.243,6.171
19,Depok,Jawa Barat,"200,29",1.374.903,6.865
20,Magelang,Jawa Tengah,"18,12",124.374,6.864
21,Mojokerto,Jawa Timur,"16,47",111.860,6.792
22,Sukabumi,Jawa Barat,"48,00",291.277,6.068
23,Tegal,Jawa Tengah,"39,68",238.676,6.015
24,Makassar,Sulawesi Selatan,"199,26",1.194.583,5.995
25,Pekalongan,Jawa Tengah,"45,25",314.098,5.940
26,Mataram,Nusa Tenggara Barat,"61,30",342.896,5.594
27,Madiun,Jawa Timur,"65,67",401.997,5.158
28,Pasuruan,Jawa Timur,"36,57",171.136,4.680
29,Pontianak,Kalimantan Barat,"107,82",679.818,4.654
30,Denpasar,Bali,"123,98",574.610,4.635
31,Bukittinggi,Sumatera Barat,"25,24",110.954,4.400
32,Bandar Lampung,Lampung,"192,18",790.057,4.111
33,Kediri,Jawa Timur,"63,40",248.640,3.922
34,Blitar,Jawa Timur,"32,58",126.776,3.891
35,Semarang,Jawa Tengah,"373,67",1.729.428,4.816
36,Probolinggo,Jawa Timur,"56,67",211.142,3.726
37,Tebing Tinggi,Sumatera Utara,"38,44",134.548,3.500
38,Tasikmalaya,Jawa Barat,"171,56",582.423,3.395
39,Palembang,Sumatera Selatan,"400,61",1.342.258,3.351
40,Sibolga,Sumatera Utara,"27,78",90.489,3.257
41,Serang,Banten,"266,74",613.356,2.299
42,Salatiga,Jawa Tengah,"56,78",165.394,2.913
43,Banda Aceh,Nanggroe Aceh Darussalam,"61,36",177.881,2.899
44,Pematangsiantar,Sumatera Utara,"79,97",229.525,2.870
45,Binjai,Sumatera Utara,"90,24",238.209,2.640
46,Manado,Sulawesi Utara,"157,25",405.715,2.580
47,Tanjung Balai,Sumatera Utara,"60,52",178.675,3.387
48,Gorontalo,Gorontalo,"64,79",153.036,2.362
49,Padang Panjang,Sumatera Barat,"19,89",45.439,2.285
50,Jambi,Jambi,"205,38",633.650,3.085
